,Earnings; Males; Full Time; Adult; Ordinary time earnings ;  Queensland ;,Earnings; Males; Full Time; Adult; Total earnings ;  Queensland ;,Earnings; Males; Total earnings ;  Queensland ;,Earnings; Females; Full Time; Adult; Ordinary time earnings ;  Queensland ;,Earnings; Females; Full Time; Adult; Total earnings ;  Queensland ;,Earnings; Females; Total earnings ;  Queensland ;,Earnings; Persons; Full Time; Adult; Ordinary time earnings ;  Queensland ;,Earnings; Persons; Full Time; Adult; Total earnings ;  Queensland ;,Earnings; Persons; Total earnings ;  Queensland ;
Unit,$,$,$,$,$,$,$,$,$
Series Type,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted
Data Type,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO
Frequency,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual
Collection Month,2,2,2,2,2,2,2,2,2
Series Start,May-2012,May-2012,May-2012,May-2012,May-2012,May-2012,May-2012,May-2012,May-2012
Series End,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020
No. Obs,18,18,18,18,18,18,18,18,18
Series ID,A84999978L,A84999981A,A84999984J,A84999979R,A84999982C,A84999985K,A84999980X,A84999983F,A84999986L
May-2012,1438.60,1529.60,1274.40,1147.60,1166.50,809.50,1325.70,1389.80,1038.50
Nov-2012,1481.00,1578.30,1326.00,1183.60,1201.60,814.50,1367.40,1433.00,1063.20
May-2013,1558.10,1660.30,1375.00,1209.90,1223.90,806.30,1426.40,1497.10,1080.50
Nov-2013,1537.90,1663.10,1335.90,1218.40,1236.90,822.50,1419.70,1503.10,1079.00
May-2014,1588.10,1704.90,1377.00,1220.10,1235.10,846.90,1441.30,1519.80,1099.70
Nov-2014,1573.50,1684.10,1329.70,1257.60,1278.00,868.10,1454.80,1528.70,1100.80
May-2015,1554.40,1650.60,1314.90,1273.70,1287.40,901.80,1443.40,1509.20,1109.80
Nov-2015,1550.10,1640.70,1333.10,1277.70,1290.60,893.00,1444.10,1504.80,1112.50
May-2016,1561.80,1647.20,1357.40,1303.30,1319.50,898.40,1463.30,1522.00,1123.40
Nov-2016,1577.20,1659.50,1352.60,1321.00,1334.80,889.50,1479.00,1536.10,1115.60
May-2017,1603.00,1690.30,1388.10,1331.10,1348.90,894.80,1499.70,1559.60,1129.90
Nov-2017,1637.90,1722.70,1404.50,1340.90,1356.70,894.90,1524.00,1583.90,1138.40
May-2018,1654.30,1747.80,1439.00,1369.80,1391.80,918.80,1546.00,1610.90,1162.70
Nov-2018,1683.50,1770.60,1462.00,1390.70,1408.30,962.20,1569.70,1631.70,1203.50
May-2019,1690.20,1764.20,1424.80,1411.20,1431.90,972.70,1581.60,1633.60,1191.10
Nov-2019,1714.50,1796.20,1480.10,1443.20,1461.50,1028.80,1604.60,1662.50,1242.50
May-2020,1753.70,1825.20,1491.30,1485.10,1503.00,1036.20,1650.10,1699.50,1255.90
Nov-2020,1703.00,1792.70,1480.30,1474.90,1492.10,1023.40,1610.50,1673.10,1235.90
