,Earnings; Males; Full Time; Adult; Ordinary time earnings ;  South Australia ;,Earnings; Males; Full Time; Adult; Total earnings ;  South Australia ;,Earnings; Males; Total earnings ;  South Australia ;,Earnings; Females; Full Time; Adult; Ordinary time earnings ;  South Australia ;,Earnings; Females; Full Time; Adult; Total earnings ;  South Australia ;,Earnings; Females; Total earnings ;  South Australia ;,Earnings; Persons; Full Time; Adult; Ordinary time earnings ;  South Australia ;,Earnings; Persons; Full Time; Adult; Total earnings ;  South Australia ;,Earnings; Persons; Total earnings ;  South Australia ;
Unit,$,$,$,$,$,$,$,$,$
Series Type,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted
Data Type,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO
Frequency,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual
Collection Month,2,2,2,2,2,2,2,2,2
Series Start,May-2012,May-2012,May-2012,May-2012,May-2012,May-2012,May-2012,May-2012,May-2012
Series End,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020
No. Obs,18,18,18,18,18,18,18,18,18
Series ID,A84975591X,A84975594F,A84975597L,A84975592A,A84975595J,A84975598R,A84975593C,A84975596K,A84975599T
May-2012,1304.40,1380.50,1165.90,1102.80,1120.20,762.50,1233.30,1287.10,962.60
Nov-2012,1339.00,1411.60,1189.60,1142.00,1156.00,752.30,1273.40,1327.10,968.90
May-2013,1358.40,1434.50,1210.80,1148.70,1160.30,762.30,1285.10,1340.20,979.40
Nov-2013,1397.80,1480.80,1244.60,1166.50,1178.60,824.00,1316.40,1372.90,1037.50
May-2014,1446.20,1542.10,1313.30,1207.50,1225.50,855.60,1361.80,1431.70,1088.30
Nov-2014,1410.80,1482.60,1247.40,1224.30,1245.40,857.50,1344.30,1396.70,1052.50
May-2015,1403.60,1470.10,1240.10,1250.10,1267.20,851.90,1350.60,1401.50,1046.40
Nov-2015,1423.80,1495.00,1241.90,1275.10,1288.50,821.10,1374.20,1424.90,1028.40
May-2016,1474.70,1544.00,1259.00,1309.00,1324.30,828.90,1417.00,1469.00,1038.70
Nov-2016,1503.40,1587.20,1276.80,1338.50,1357.00,860.40,1444.40,1503.70,1061.50
May-2017,1501.20,1577.10,1301.00,1355.10,1372.50,873.40,1449.30,1506.00,1081.60
Nov-2017,1493.90,1587.40,1270.70,1337.40,1353.00,886.40,1440.30,1505.90,1075.00
May-2018,1501.00,1589.00,1267.90,1355.10,1371.40,887.00,1449.90,1514.50,1074.90
Nov-2018,1513.70,1585.40,1263.70,1371.40,1390.40,907.40,1461.00,1512.00,1078.20
May-2019,1529.30,1597.30,1290.80,1387.50,1408.40,906.70,1476.30,1528.20,1084.80
Nov-2019,1563.20,1646.40,1324.60,1400.20,1415.70,916.50,1502.40,1559.00,1105.20
May-2020,1575.70,1642.50,1330.90,1443.50,1461.20,993.70,1524.00,1573.30,1152.20
Nov-2020,1587.60,1647.20,1333.00,1456.50,1474.10,964.80,1541.20,1584.30,1143.40
