,Earnings; Males; Full Time; Adult; Ordinary time earnings ;  Victoria ;,Earnings; Males; Full Time; Adult; Total earnings ;  Victoria ;,Earnings; Males; Total earnings ;  Victoria ;,Earnings; Females; Full Time; Adult; Ordinary time earnings ;  Victoria ;,Earnings; Females; Full Time; Adult; Total earnings ;  Victoria ;,Earnings; Females; Total earnings ;  Victoria ;,Earnings; Persons; Full Time; Adult; Ordinary time earnings ;  Victoria ;,Earnings; Persons; Full Time; Adult; Total earnings ;  Victoria ;,Earnings; Persons; Total earnings ;  Victoria ;
Unit,$,$,$,$,$,$,$,$,$
Series Type,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted
Data Type,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO
Frequency,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual
Collection Month,2,2,2,2,2,2,2,2,2
Series Start,May-2012,May-2012,May-2012,May-2012,May-2012,May-2012,May-2012,May-2012,May-2012
Series End,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020
No. Obs,18,18,18,18,18,18,18,18,18
Series ID,A84988659X,A84988662L,A84988665V,A84988660J,A84988663R,A84988666W,A84988661K,A84988664T,A84988667X
May-2012,1379.00,1466.80,1218.10,1163.40,1178.10,784.30,1301.40,1363.70,999.80
Nov-2012,1396.80,1482.90,1225.50,1204.20,1218.00,818.70,1327.30,1386.40,1023.70
May-2013,1410.50,1503.90,1271.00,1213.90,1231.00,820.20,1342.40,1410.00,1046.00
Nov-2013,1464.20,1542.50,1291.50,1235.80,1253.80,827.30,1385.10,1441.70,1064.20
May-2014,1458.80,1540.00,1276.20,1250.40,1267.00,842.80,1384.00,1442.50,1057.00
Nov-2014,1470.80,1553.20,1278.20,1258.20,1276.10,843.20,1392.60,1450.60,1056.80
May-2015,1477.90,1555.30,1272.30,1274.00,1291.00,859.60,1400.50,1455.40,1055.60
Nov-2015,1496.80,1576.40,1284.40,1290.50,1307.60,875.00,1420.80,1476.70,1073.70
May-2016,1527.00,1599.50,1304.30,1335.90,1351.90,882.00,1458.40,1511.00,1092.60
Nov-2016,1576.50,1659.90,1324.60,1359.90,1380.20,902.50,1496.00,1555.10,1111.10
May-2017,1585.70,1661.70,1340.30,1379.20,1396.80,917.50,1511.50,1566.90,1128.10
Nov-2017,1590.00,1666.70,1349.30,1394.80,1416.70,950.50,1520.50,1576.60,1153.80
May-2018,1618.70,1703.00,1387.80,1422.60,1442.90,951.10,1548.90,1610.80,1171.30
Nov-2018,1615.40,1690.80,1400.60,1468.80,1490.30,976.50,1565.00,1620.50,1190.70
May-2019,1671.70,1748.20,1413.90,1505.20,1527.10,1005.70,1611.70,1668.90,1209.10
Nov-2019,1699.20,1784.20,1444.10,1539.30,1559.00,1014.20,1642.80,1703.30,1228.40
May-2020,1777.00,1852.50,1498.60,1601.20,1620.10,1094.40,1712.50,1767.60,1296.10
Nov-2020,1787.00,1858.50,1502.20,1592.30,1611.60,1075.80,1714.50,1765.00,1283.40
