,Earnings; Males; Full Time; Adult; Ordinary time earnings ;  Western Australia ;,Earnings; Males; Full Time; Adult; Total earnings ;  Western Australia ;,Earnings; Males; Total earnings ;  Western Australia ;,Earnings; Females; Full Time; Adult; Ordinary time earnings ;  Western Australia ;,Earnings; Females; Full Time; Adult; Total earnings ;  Western Australia ;,Earnings; Females; Total earnings ;  Western Australia ;,Earnings; Persons; Full Time; Adult; Ordinary time earnings ;  Western Australia ;,Earnings; Persons; Full Time; Adult; Total earnings ;  Western Australia ;,Earnings; Persons; Total earnings ;  Western Australia ;
Unit,$,$,$,$,$,$,$,$,$
Series Type,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted
Data Type,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO,RATIO
Frequency,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual,Biannual
Collection Month,2,2,2,2,2,2,2,2,2
Series Start,May-2012,May-2012,May-2012,May-2012,May-2012,May-2012,May-2012,May-2012,May-2012
Series End,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020,Nov-2020
No. Obs,18,18,18,18,18,18,18,18,18
Series ID,A85002053W,A85002056C,A85002059K,A85002054X,A85002057F,A85002060V,A85002055A,A85002058J,A85002061W
May-2012,1659.80,1826.70,1556.10,1241.90,1266.90,834.30,1516.80,1635.20,1204.50
Nov-2012,1746.70,1888.50,1614.60,1277.60,1298.90,847.30,1590.60,1692.40,1244.00
May-2013,1804.70,1935.70,1664.40,1325.50,1350.50,889.60,1644.80,1740.50,1297.90
Nov-2013,1754.10,1869.00,1618.80,1338.20,1363.00,917.10,1620.00,1705.90,1296.30
May-2014,1788.90,1919.70,1638.10,1336.30,1359.60,933.30,1641.20,1736.80,1314.30
Nov-2014,1826.40,1989.20,1686.00,1358.30,1389.90,953.80,1673.10,1792.90,1346.70
May-2015,1857.20,1987.80,1683.00,1373.20,1395.90,955.30,1691.20,1784.80,1340.00
Nov-2015,1861.90,1993.80,1632.20,1401.50,1429.40,964.10,1708.70,1806.00,1326.80
May-2016,1843.50,1976.80,1636.60,1401.20,1422.80,944.30,1698.60,1795.30,1319.70
Nov-2016,1855.40,1989.60,1636.30,1411.70,1432.50,982.80,1703.20,1798.50,1327.60
May-2017,1853.80,1965.70,1639.30,1432.30,1450.00,978.00,1714.70,1795.50,1333.20
Nov-2017,1883.00,1996.20,1652.50,1458.50,1477.10,975.30,1742.80,1824.80,1332.50
May-2018,1884.00,1996.30,1646.80,1462.20,1481.50,967.70,1740.30,1820.90,1320.40
Nov-2018,1915.90,2040.00,1637.40,1472.20,1495.30,965.90,1757.10,1845.10,1299.30
May-2019,1923.10,2030.50,1649.50,1508.70,1528.30,962.20,1780.80,1858.10,1311.00
Nov-2019,1928.10,2042.20,1686.70,1497.10,1515.80,988.30,1777.80,1858.60,1334.90
May-2020,1998.10,2092.60,1734.70,1544.10,1567.00,1064.50,1840.80,1910.60,1409.40
Nov-2020,1995.60,2085.50,1718.60,1539.30,1563.50,1001.60,1840.50,1908.00,1362.20
